size,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000
average time,6,8,11,14,18,21,25,29,33,37,41,45,50,54,64,63,69,71,73,77
